id,name,link
3zkC6sZ9JlHhE8FHDgfW2R,Top Hits Song : 2000-2003,https://open.spotify.com/playlist/3zkC6sZ9JlHhE8FHDgfW2R
5uxcFxxHl8xy3VyB09Evqn,Top Hits Song : 2001-2004,https://open.spotify.com/playlist/5uxcFxxHl8xy3VyB09Evqn
7gjQ01FFeXez1aoe9Rkqnk,Top Hits Song : 2002-2005,https://open.spotify.com/playlist/7gjQ01FFeXez1aoe9Rkqnk
1zDQk26TFBUBuN6CpUflf4,Top Hits Song : 2003-2006,https://open.spotify.com/playlist/1zDQk26TFBUBuN6CpUflf4
6joZOzPzdO46eqazVxiTSt,Top Hits Song : 2004-2007,https://open.spotify.com/playlist/6joZOzPzdO46eqazVxiTSt
7zINQK84uzq6RjrLDsgiIB,Top Hits Song : 2005-2008,https://open.spotify.com/playlist/7zINQK84uzq6RjrLDsgiIB
4yRa3Z65ZcGXoSdB36cBYh,Top Hits Song : 2006-2009,https://open.spotify.com/playlist/4yRa3Z65ZcGXoSdB36cBYh
4u2QA5p6V4EpZl8OFpI1dO,Top Hits Song : 2007-2010,https://open.spotify.com/playlist/4u2QA5p6V4EpZl8OFpI1dO
2EC9gYNlXMvzPTz0ekCGVX,Top Hits Song : 2008-2011,https://open.spotify.com/playlist/2EC9gYNlXMvzPTz0ekCGVX
26dCz56x0HqEtz8FEmUfqO,Top Hits Song : 2009-2012,https://open.spotify.com/playlist/26dCz56x0HqEtz8FEmUfqO
0DMN3QZS1P6cbFFygv2HNC,Top Hits Song : 2010-2013,https://open.spotify.com/playlist/0DMN3QZS1P6cbFFygv2HNC
4zN0WI8JpKmnXp9vtWU065,Top Hits Song : 2011-2014,https://open.spotify.com/playlist/4zN0WI8JpKmnXp9vtWU065
0a3UoQipo8eWBjPj1xgKc5,Top Hits Song : 2012-2015,https://open.spotify.com/playlist/0a3UoQipo8eWBjPj1xgKc5
1YVnRcVRD9vJDKygRZgpm2,Top Hits Song : 2013-2016,https://open.spotify.com/playlist/1YVnRcVRD9vJDKygRZgpm2
4rGDVNz7ann6jihobxeDkW,Top Hits Song : 2014-2017,https://open.spotify.com/playlist/4rGDVNz7ann6jihobxeDkW
56AegMQXvNUe5yr41MbyQp,Top Hits Song : 2015-2018,https://open.spotify.com/playlist/56AegMQXvNUe5yr41MbyQp
4hiQcOgl2bu59NuoRDaLck,Top Hits Song : 2016-2019,https://open.spotify.com/playlist/4hiQcOgl2bu59NuoRDaLck
5upeQYQhDf4y7TkQXbbZ5p,Top Hits Song : 2017-2020,https://open.spotify.com/playlist/5upeQYQhDf4y7TkQXbbZ5p
6GFcqQFglgynmIcvQiG9US,Top Hits Song : 2018-2021,https://open.spotify.com/playlist/6GFcqQFglgynmIcvQiG9US
065XkxyFqY8cAZFmHFNXgs,Top Hits Song : 2019-2022,https://open.spotify.com/playlist/065XkxyFqY8cAZFmHFNXgs
3VoqypJ7o1S9pE9qGjJgVB,Top Hits Song : 2000-2004,https://open.spotify.com/playlist/3VoqypJ7o1S9pE9qGjJgVB
2Jf44Q3xZj62EyxqcekXb2,Top Hits Song : 2001-2005,https://open.spotify.com/playlist/2Jf44Q3xZj62EyxqcekXb2
5NhS9xXKSPO1UR2Dp4Znog,Top Hits Song : 2002-2006,https://open.spotify.com/playlist/5NhS9xXKSPO1UR2Dp4Znog
72bUiJRfW8yzi3z0S1xJn7,Top Hits Song : 2003-2007,https://open.spotify.com/playlist/72bUiJRfW8yzi3z0S1xJn7
3nBK0ExyvPE1Oe5IJgNENq,Top Hits Song : 2004-2008,https://open.spotify.com/playlist/3nBK0ExyvPE1Oe5IJgNENq
3Jctxcn7Z6UwAshvc5iecd,Top Hits Song : 2005-2009,https://open.spotify.com/playlist/3Jctxcn7Z6UwAshvc5iecd
549ruIToNZySZpGWkjcEQt,Top Hits Song : 2006-2010,https://open.spotify.com/playlist/549ruIToNZySZpGWkjcEQt
182m21fbc8bTMUfJb7AK1i,Top Hits Song : 2007-2011,https://open.spotify.com/playlist/182m21fbc8bTMUfJb7AK1i
2fctfFFJKz00oGo80frOkJ,Top Hits Song : 2008-2012,https://open.spotify.com/playlist/2fctfFFJKz00oGo80frOkJ
7rr79b0i4MFDUs22dIzvNt,Top Hits Song : 2009-2013,https://open.spotify.com/playlist/7rr79b0i4MFDUs22dIzvNt
2NtkEnXarTIEMokudHKhWT,Top Hits Song : 2010-2014,https://open.spotify.com/playlist/2NtkEnXarTIEMokudHKhWT
4i4QLBMd6MYWHKGPqMZDvg,Top Hits Song : 2011-2015,https://open.spotify.com/playlist/4i4QLBMd6MYWHKGPqMZDvg
5eK24wrhJ7e50GHJB013KP,Top Hits Song : 2012-2016,https://open.spotify.com/playlist/5eK24wrhJ7e50GHJB013KP
1evtV39SZAwwF6WyrwTnYF,Top Hits Song : 2013-2017,https://open.spotify.com/playlist/1evtV39SZAwwF6WyrwTnYF
7eyWWiF6vC9Zy757FXEcdU,Top Hits Song : 2014-2018,https://open.spotify.com/playlist/7eyWWiF6vC9Zy757FXEcdU
6Vg27b0gNwipEixpkhTy4b,Top Hits Song : 2015-2019,https://open.spotify.com/playlist/6Vg27b0gNwipEixpkhTy4b
5r8i0yf4zBe17ji2IRz3KU,Top Hits Song : 2016-2020,https://open.spotify.com/playlist/5r8i0yf4zBe17ji2IRz3KU
0luWdqiXsfjaHTiY56QbH9,Top Hits Song : 2017-2021,https://open.spotify.com/playlist/0luWdqiXsfjaHTiY56QbH9
1tAQ9sP24f5Cm8zM6nHZrm,Top Hits Song : 2018-2022,https://open.spotify.com/playlist/1tAQ9sP24f5Cm8zM6nHZrm
2jt4zEadst6A6irMFgT4Ga,Top Hits Song : 2000,https://open.spotify.com/playlist/2jt4zEadst6A6irMFgT4Ga
2uzLxl7MWyrs7Wo1KMYY00,Top Hits Song : 2001,https://open.spotify.com/playlist/2uzLxl7MWyrs7Wo1KMYY00
4UdAdP8fL9bPkYXOXuD3Gr,Top Hits Song : 2002,https://open.spotify.com/playlist/4UdAdP8fL9bPkYXOXuD3Gr
7jRZBZcEpRUpF0alZkUbV1,Top Hits Song : 2003,https://open.spotify.com/playlist/7jRZBZcEpRUpF0alZkUbV1
7Feu6KDp1jZPIYc3iF1rcb,Top Hits Song : 2004,https://open.spotify.com/playlist/7Feu6KDp1jZPIYc3iF1rcb
6LfqAyttZvSBOtFAN2DPQf,Top Hits Song : 2005,https://open.spotify.com/playlist/6LfqAyttZvSBOtFAN2DPQf
4R9k7UDhtR4pDypzFzdUpS,Top Hits Song : 2006,https://open.spotify.com/playlist/4R9k7UDhtR4pDypzFzdUpS
6qEkqFYKtYmRoiusijUL29,Top Hits Song : 2007,https://open.spotify.com/playlist/6qEkqFYKtYmRoiusijUL29
7u9cncYl1JlxQwpzkhpbut,Top Hits Song : 2008,https://open.spotify.com/playlist/7u9cncYl1JlxQwpzkhpbut
09gcd4ADbME0FkaJ6IFOdu,Top Hits Song : 2009,https://open.spotify.com/playlist/09gcd4ADbME0FkaJ6IFOdu
1OkWhYM06WeP2MdSZW1Ivh,Top Hits Song : 2010,https://open.spotify.com/playlist/1OkWhYM06WeP2MdSZW1Ivh
1DmTkPGbNi35Ewt8HClzf0,Top Hits Song : 2011,https://open.spotify.com/playlist/1DmTkPGbNi35Ewt8HClzf0
3EKbXWKtE9YY68u2soVZCn,Top Hits Song : 2012,https://open.spotify.com/playlist/3EKbXWKtE9YY68u2soVZCn
2YBpHR1NZdK3CqR8tG4svC,Top Hits Song : 2013,https://open.spotify.com/playlist/2YBpHR1NZdK3CqR8tG4svC
4VriawgnzCFjs93O97TS2C,Top Hits Song : 2014,https://open.spotify.com/playlist/4VriawgnzCFjs93O97TS2C
0G78ZhAqgVelEVwOaXqtFD,Top Hits Song : 2015,https://open.spotify.com/playlist/0G78ZhAqgVelEVwOaXqtFD
0iBtoux7cdMWyOeEq7bXAA,Top Hits Song : 2016,https://open.spotify.com/playlist/0iBtoux7cdMWyOeEq7bXAA
3KrY8ULuwvaDC3V9rCP0g6,Top Hits Song : 2017,https://open.spotify.com/playlist/3KrY8ULuwvaDC3V9rCP0g6
46ynTcAuAEDIcFzvELQV7Q,Top Hits Song : 2018,https://open.spotify.com/playlist/46ynTcAuAEDIcFzvELQV7Q
6Ro39pxMpvCPuXVrzmrIgh,Top Hits Song : 2019,https://open.spotify.com/playlist/6Ro39pxMpvCPuXVrzmrIgh
74fSWrkZ979sJJLFig1ABm,Top Hits Song : 2020,https://open.spotify.com/playlist/74fSWrkZ979sJJLFig1ABm
05CECfdjE4SmCR815Rbm9v,Top Hits Song : 2021,https://open.spotify.com/playlist/05CECfdjE4SmCR815Rbm9v
53amww2Gtqu9QKAAMwZmkg,Top Hits Song : 2022,https://open.spotify.com/playlist/53amww2Gtqu9QKAAMwZmkg
