entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri
November 25,"""Show Me What You Got""",Jay-Z,8,November 25,1,2006,spotify:track:1SlPhbS52PbNqqVCqGU12I
December 9,"""Wind It Up""",Gwen Stefani,6,December 16,3,2006,spotify:track:1GeECVH4Msg1zLm8DExkbH
December 16,"""We Fly High""",Jim Jones,5,February 3,10,2007,spotify:track:3RGyFugqjQjlL8XX0NW8dZ
December 23,"""Say It Right"" #9",Nelly Furtado,1,February 24,14,2007,spotify:track:1mWD85cAyCUifduqXqjeBH
January 13,"""It Ends Tonight""",The All-American Rejects,8,January 13,3,2007,spotify:track:1FMHNVeJ9s1x1l1WlaRs2I
January 20,"""Welcome to the Black Parade""",My Chemical Romance,9,January 20,3,2007,spotify:track:5wQnmLuC1W7ATsArWACrgW
February 3,"""This Aint a Scene, Its an Arms Race""",Fall Out Boy,2,February 3,9,2007,spotify:track:1oagRT7LfpVlNJN6FSZDGp
February 3,"""Its Not Over""",Daughtry,4,February 10,10,2007,spotify:track:234RqTZmnDTnxWlVciXHLD
February 10,"""What Goes Around Comes Around""",Justin Timberlake,1,March 3,9,2007,spotify:track:3pD0f7hSJg2XdQ6udw5Tey
February 17,"""Walk It Out""",Unk,10,February 17,1,2007,spotify:track:6PBAPjshd2JfEiWpdf3C2a
March 3,"""Dont Matter""",Akon,1,April 7,13,2007,spotify:track:7I6DceMT3utDOHjcYCbrr4
March 10,"""This Is Why Im Hot""",Mims,1,March 10,9,2007,spotify:track:0AA6zq5ArZ1sSH7VIMi4NK
March 17,"""Girlfriend""",Avril Lavigne,1,May 5,18,2007,spotify:track:45hOioMDJktr86iKDHC8gr
April 14,"""Last Night""",Diddy featuring Keyshia Cole,10,April 14,2,2007,spotify:track:61u8YHgwacXM9Sm5JOblkp
April 21,"""What Ive Done""",Linkin Park,7,April 21,1,2007,spotify:track:18lR4BzEs7e3qzc0KVkTpU
May 12,"""Never Again""",Kelly Clarkson,8,May 12,2,2007,spotify:track:24y3tSyLdRbpVsKhQrR2oj
May 12,"""Because of You""",Ne-Yo,2,May 19,3,2007,spotify:track:6CFPFnS9EcLs2I0nWqtWci
May 12,"""Makes Me Wonder""",Maroon 5,1,May 12,12,2007,spotify:track:1lHXlGlve5Zx8tXLhyjDwM
May 26,"""Pop, Lock & Drop It""",Huey,6,June 2,5,2007,spotify:track:6DbqCKweKwVkHgRv1CI53D
June 2,"""Home""",Daughtry,5,June 2,3,2007,spotify:track:2mobr1UlKjhxDTOVqng3jw
June 2,"""Summer Love""",Justin Timberlake,6,June 9,7,2007,spotify:track:1MBM7CyZbwJpVbbZJnHHRg
June 9,"""Big Girls Dont Cry"" #4",Fergie,1,September 8,21,2007,spotify:track:6HjhauSBJs051TFjAt9glx
June 9,"""Party Like a Rockstar""",Shop Boyz,2,June 9,11,2007,spotify:track:07SajbxT3mMTKhbkGjVMBW
June 23,"""Rehab""",Amy Winehouse,9,June 30,4,2007,spotify:track:3N4DI1vuTSX1tz7fa2NQZw
June 30,"""Lip Gloss""",Lil Mama,10,June 30,1,2007,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS
July 14,"""The Way I Are""",Timbaland featuring Keri Hilson and D.O.E.,3,August 25,19,2007,spotify:track:2NkDQv8y2DkoYQURdiZCOk
July 21,"""A Bay Bay""",Hurricane Chris,7,July 28,7,2007,spotify:track:2oWbOh3tLluqTdYL5OEDvs
July 21,"""Big Things Poppin Do It""",T.I.,9,July 21,1,2007,spotify:track:0eMdAjfAfGS1AoeXgiyGXP
August 4,"""What Time Is It?""",High School Musical Cast,6,August 4,1,2007,spotify:track:5XiVbtlbe0xlExhSLuLFmp
August 4,"""Sorry, Blame It on Me""",Akon,7,August 4,1,2007,spotify:track:61BqwgSRTyWH9M4uPjsC3B
August 11,"""Beautiful Girls""",Sean Kingston,1,August 11,7,2007,spotify:track:1hGy2eLcmC8eKx7qr1tOqx
August 18,"""Stronger""",Kanye West,1,September 29,16,2007,spotify:track:0j2T0R9dR9qdJYsB7ciXhf
September 1,"""Crank That Soulja Boy""",Soulja Boy Tell 'Em,1,September 15,18,2007,spotify:track:66TRwr5uJwPt15mfFkzhbi
September 15,"""Rockstar""",Nickelback,6,September 22,4,2007,spotify:track:6n9yCXvLhnYMgJIiIcMu7D
September 29,"""Bed""",J. Holiday,5,October 6,5,2007,spotify:track:6TlRNJaezOdzdECnQeRuMM
October 6,"""Bubbly""",Colbie Caillat,5,October 27,17,2007,spotify:track:0rFOs9paloAvEtzwDX1Kmc
October 13,"""1234""",Feist,8,October 13,1,2007,spotify:track:2CzWeyC9zlDpIOZPUUKrBW
October 13,"""Gimme More""",Britney Spears,3,October 13,3,2007,spotify:track:6ic8OlLUNEATToEFU3xmaH
October 20,"""No One""",Alicia Keys,1,December 1,22,2007,spotify:track:6IwKcFdiRQZOWeYNhUiWIv
December 1,"""Clumsy""",Fergie,5,December 22,12,2007,spotify:track:50xeLNGKmskmYUSINhqvfa
December 22,"""Tattoo""",Jordin Sparks,8,December 29,6,2007,spotify:track:3Ui2jdyxbZQrZohfM0NOgG
November 24,"""Paralyzer""",Finger Eleven,6,January 5,9,2008,spotify:track:28IEbk5a7twNTbUEvWslUb
January 26,"""Take You There""",Sean Kingston,7,February 9,7,2008,spotify:track:6AdLyvisRKHLAwARaZMGr6
February 2,"""Dont Stop the Music""",Rihanna,3,February 16,10,2008,spotify:track:0ByMNEPAPpOR5H69DVrTNy
February 9,"""Sexual Eruption""",Snoop Dogg,7,March 1,6,2008,spotify:track:3nTHTulZtTJoM3cBJTuHrJ
February 16,"""New Soul""",Yael Naïm,7,February 23,2,2008,spotify:track:476JcJ3TpAuCOlGdCmomGm
February 23,"""Sorry""",Buckcherry,9,March 1,3,2008,spotify:track:0EbnUc05YEKhZRKgbrZWpq
March 29,"""Bleeding Love"" #2",Leona Lewis,1,April 5,20,2008,spotify:track:7nF8akJgcF1ZKE9EqmtmhS
April 12,"""Touch My Body""",Mariah Carey,1,April 12,8,2008,spotify:track:2aEuXA1KswHlCGPOuPmCOW
May 3,"""See You Again""",Miley Cyrus,10,May 3,1,2008,spotify:track:3AjyOYxBv8bByfBtG5o9dP
May 17,"""Leavin""",Jesse McCartney,10,May 17,3,2008,spotify:track:20ORwCJusz4KS2PbTPVNKo
May 17,"""Pocketful of Sunshine""",Natasha Bedingfield,5,July 5,11,2008,spotify:track:1uigwk5hNV84zRd5YQQRTk
May 24,"""Damaged""",Danity Kane,10,May 24,2,2008,spotify:track:4yHFxB8kzzeuNvoouR8N0N
May 24,"""Take a Bow""",Rihanna,1,May 24,16,2008,spotify:track:3goSVuTt3fDYDP6kRnFwuL
June 7,"""The Time of My Life""",David Cook,3,June 7,2,2008,spotify:track:6avyV3xlz2UFeiAUZ0SqyT
June 7,"""Viva la Vida""",Coldplay,1,June 28,16,2008,spotify:track:1mea3bSkSGXuIRvnydlB5b
June 14,"""I Kissed a Girl""",Katy Perry,1,July 5,14,2008,spotify:track:005lwxGU1tms6HGELIcUv9
June 28,"""Shake It""",Metro Station,10,June 28,1,2008,spotify:track:5619Ojc6t9evEEs3B7Drhe
July 5,"""7 Things""",Miley Cyrus,9,July 26,3,2008,spotify:track:5ecZWU5uQOiCVSnPxBZNmT
July 5,"""When I Grow Up""",The Pussycat Dolls,9,July 5,2,2008,spotify:track:21pySLskKIKrhDziCX5ojQ
July 26,"""A Milli""",Lil Wayne,6,August 9,5,2008,spotify:track:4CPNhy7ewpOXsE0z3ujr49
August 9,"""Disturbia""",Rihanna,1,August 23,14,2008,spotify:track:2VOomzT6VavJOGBeySqaMc
August 16,"""Tonight""",Jonas Brothers,8,August 16,1,2008,spotify:track:7xZa00kpFR3r7UqeczbVPE
August 16,"""Closer""",Ne-Yo,7,September 27,9,2008,spotify:track:2XbfY2O2v3xwedUJ0J2kkr
August 23,"""Paper Planes""",M.I.A.,4,September 27,10,2008,spotify:track:1ixbwbeBi5ufN4noUKmW5a
August 30,"""Crush""",David Archuleta,2,August 30,1,2008,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4
August 30,"""Change""",Taylor Swift,10,August 30,1,2008,spotify:track:7qEUFOVcxRI19tbT68JcYK
September 6,"""So What""",Pink,1,September 27,15,2008,spotify:track:7BpAEEZkSvvTjkFhxVY7zN
September 6,"""Whatever You Like""",T.I.,1,September 6,19,2008,spotify:track:1IAzD1muglOxOcPbUHs70R
September 13,"""Im Yours""",Jason Mraz,6,September 20,13,2008,spotify:track:1EzrEOXmMH3G43AXT1y7pA
October 4,"""Love Lockdown""",Kanye West,3,October 4,9,2008,spotify:track:1kxeWHF9PrCVZHvVskv8lg
October 4,"""Hot n Cold""",Katy Perry,3,November 22,18,2008,spotify:track:1y4eb6hmAvsqlDOl3fx9kk
October 18,"""Keeps Gettin Better""",Christina Aguilera,7,October 18,1,2008,spotify:track:0j0n5CUS1g3QSwDWg8r5qq
October 18,"""Gotta Be Somebody""",Nickelback,10,October 18,1,2008,spotify:track:06T10fEzN8ZCcqzQZYA184
October 25,"""Miss Independent""",Ne-Yo,7,December 13,7,2008,spotify:track:34ceTg8ChN5HjrqiIYCn9Q
October 25,"""Womanizer""",Britney Spears,1,October 25,13,2008,spotify:track:4fixebDZAVToLbUCuEloa2
November 1,"""Fearless""",Taylor Swift,9,November 1,1,2008,spotify:track:77sMIMlNaSURUAXq5coCxE
November 8,"""If I Were a Boy""",Beyoncé,3,November 8,10,2008,spotify:track:26NX1wPt1TRCH536yocd6i
November 15,"""Right Now Na Na Na""",Akon,8,November 29,4,2008,spotify:track:1ARJhjuI6TNYZCxYygFQ4F
December 6,"""Single Ladies Put a Ring on It""",Beyoncé,1,December 13,13,2008,spotify:track:2ZBNclC5wm4GtiWaeh0DMx
December 20,"""Circus""",Britney Spears,3,December 20,5,2008,spotify:track:7jk7gqyEonmVVYahZN5zhW
January 24,"""Gives You Hell"" #10",The All-American Rejects,4,March 7,14,2009,spotify:track:5Bx0dawJZ1k8H8BkXufHvz
February 7,"""My Life Would Suck Without You""",Kelly Clarkson,1,February 7,10,2009,spotify:track:4Dm32oO01YpIubCHaAtKkN
February 7,"""You Found Me""",The Fray,7,February 14,6,2009,spotify:track:4IoYz8XqqdowINzfRrFnhi
February 28,"""Poker Face"" #2",Lady Gaga,1,April 11,18,2009,spotify:track:2q55kslMGD7M0TVW85pcca
March 21,"""The Climb""",Miley Cyrus,4,May 2,8,2009,spotify:track:0V8FYVlBFuXXTIvRnMbZyS
April 11,"""Love Sex Magic""",Ciara featuring Justin Timberlake,10,April 11,1,2009,spotify:track:158q3fa4ZMoMYWdiYWD5NL
April 18,"""Boom Boom Pow"" #1",The Black Eyed Peas,1,April 18,19,2009,spotify:track:5JvgoDtwkLHlQQcJaxhCOI
April 18,"""Day n Nite""",Kid Cudi,3,May 9,9,2009,spotify:track:5wfllwdjglyQislkskYLBv
May 2,"""We Made You""",Eminem,9,May 2,1,2009,spotify:track:4UMTp91LHhvW33ol9ZQH0Q
May 9,"""Halo""",Beyoncé,5,May 23,8,2009,spotify:track:4JehYebiI9JE8sR8MisGVb
May 16,"""Dont Trust Me""",3OH!3,7,May 30,3,2009,spotify:track:3bsDo5vjjJI7O8VuytGIrc
May 30,"""Birthday Sex""",Jeremih,4,June 13,10,2009,spotify:track:4NpDZPwSXmL0cCTaJuVrCw
May 30,"""I Know You Want Me Calle Ocho""",Pitbull,2,June 20,10,2009,spotify:track:13plQdOoWSSXPRUSZc5FuM
June 6,"""Dont Stop Believin""",Glee Cast,4,June 6,1,2009,spotify:track:18k2vGf6TWpBoy8ASTuPdS
June 6,"""New Divide""",Linkin Park,6,June 6,3,2009,spotify:track:6Wx88Mv6b9ofjKMKkdwOJd
June 6,"""Waking Up in Vegas""",Katy Perry,9,August 8,4,2009,spotify:track:6fvxos1qSHrIgOkKw4dhWS
June 13,"""Fire Burning""",Sean Kingston,5,July 25,11,2009,spotify:track:2oENJa1T33GJ0w8dC167G4
June 13,"""LoveGame""",Lady Gaga,5,June 27,10,2009,spotify:track:0TcJ7QWpggdSg8t0fHThHm
June 20,"""Second Chance""",Shinedown,7,June 20,3,2009,spotify:track:0CwYG1UnRmOx8Q1EzElCIL
July 4,"""Best I Ever Had""",Drake,2,July 25,12,2009,spotify:track:3QLjDkgLh9AOEHlhQtDuhs
July 4,"""Every Girl""",Young Money,10,July 4,1,2009,spotify:track:6klZDCEsQzMELAPyovvpUw
July 18,"""You Belong With Me""",Taylor Swift,2,August 22,16,2009,spotify:track:3GCL1PydwsLodcpv0Ll1ch
July 25,"""He Could Be the One""",Hannah Montana,10,July 25,1,2009,spotify:track:07HPV6hzecJmMJwsIX8YVU
August 8,"""Battlefield""",Jordin Sparks,10,August 8,1,2009,spotify:track:1Nme6K1PYAh7p7uygyuRdf
August 8,"""Use Somebody""",Kings of Leon,4,September 12,12,2009,spotify:track:5VGlqQANWDKJFl0MBG3sg2
August 22,"""Hotel Room Service""",Pitbull,8,September 19,6,2009,spotify:track:6Rb0ptOEjBjPPQUlQtQGbL
August 29,"""Party in the USA""",Miley Cyrus,2,August 29,16,2009,spotify:track:7t5YIq57DS5djsaZJm1iyM
September 19,"""Obsessed""",Mariah Carey,7,September 19,4,2009,spotify:track:3IcIIZMMS7UArJJPtEHXG8
September 19,"""Whatcha Say""",Jason Derulo,1,November 14,18,2009,spotify:track:67T6l4q3zVjC5nZZPXByU8
October 3,"""Paparazzi""",Lady Gaga,6,October 17,10,2009,spotify:track:7Hqig8kp32q2Ire3ECQvWM
October 24,"""3""",Britney Spears,1,October 24,11,2009,spotify:track:6pymOcrCnMuCWdgGVTvUgP
October 24,"""Fireflies""",Owl City,1,November 7,15,2009,spotify:track:3DamFFqW32WihKkTVlwTYQ
October 31,"""Meet Me Halfway""",The Black Eyed Peas,7,November 7,6,2009,spotify:track:7AEOX0MZG1oERKKPmVSMSF
November 7,"""Sweet Dreams""",Beyoncé,10,November 7,2,2009,spotify:track:1FKxKGONukVFXWVJxAKmlz
November 14,"""Bad Romance""",Lady Gaga,2,December 5,17,2009,spotify:track:0SiywuOBRcynK0uKGWdCnn
November 14,"""Jump Then Fall""",Taylor Swift,10,November 14,1,2009,spotify:track:2m3ObD945KvpE5y9A1eUWm
November 21,"""Russian Roulette""",Rihanna,9,November 21,1,2009,spotify:track:3rMsX63C0IZVnOT5LGYoTH
November 21,"""Replay""",Iyaz,2,January 9,14,2010,spotify:track:5vlEg2fT4cFWAqU5QptIpQ
November 28,"""Need You Now"" #2",Lady Antebellum,2,March 20,16,2010,spotify:track:6P3yFPfUPnEyghsOO07meH
November 28,"""Tik Tok"" #1",Kesha,1,January 2,20,2010,spotify:track:4585vvEL0rxaRloNCfgGGk
January 30,"""How Low""",Ludacris,6,February 13,7,2010,spotify:track:1WtTLtofvcjQM3sXSMkDdX
February 6,"""Today Was a Fairytale""",Taylor Swift,2,February 6,1,2010,spotify:track:2JoJrsEV15OzbijS47lids
February 13,"""Imma Be""",The Black Eyed Peas,1,March 6,11,2010,spotify:track:4EN6UosT26XBMgkI9eA48U
February 27,"""We Are the World 25 for Haiti""",Artists for Haiti,2,February 27,2,2010,spotify:track:07rhyW77lp2bGv8EQoZy6k
February 27,"""In My Head"" [B]",Jason Derulo,5,April 24,10,2010,spotify:track:2HR1IwQvkY21hM5mJJprYG
March 13,"""Rude Boy""",Rihanna,1,March 27,13,2010,spotify:track:60jzFy6Nn4M0iD1d94oteF
May 1,"""Whataya Want from Me""",Adam Lambert,10,May 1,1,2010,spotify:track:2rDwdvBma1O1eLzo29p2cr
May 1,"""Your Love Is My Drug""",Kesha,4,June 12,11,2010,spotify:track:6vc2Jq2vaGu8z326kSrw92
May 29,"""Alejandro""",Lady Gaga,5,June 26,7,2010,spotify:track:4lwavw59UjXUPJZtKNdFYp
June 5,"""Cant Be Tamed""",Miley Cyrus,8,June 5,1,2010,spotify:track:2r6DdaSbkbwoPzuK6NjLPn
June 12,"""Bulletproof""",La Roux,8,June 12,2,2010,spotify:track:3kMrazSvILsgcwtidZd1Qd
June 19,"""Rock That Body""",The Black Eyed Peas,9,June 19,2,2010,spotify:track:4e9AWHy3ULi2poxShu3Bn7
June 26,"""Find Your Love""",Drake,5,July 3,7,2010,spotify:track:4BycRneKmOs6MhYG9THsuX
July 3,"""Cooler Than Me""",Mike Posner,6,July 17,11,2010,spotify:track:2V4bv1fNWfTcyRJKmej6Sj
July 10,"""Ridin Solo"" [E]",Jason Derulo,9,July 17,7,2010,spotify:track:7atRUuBDLyWZgTsvHzTIqL
July 17,"""Dynamite"" #9",Taio Cruz,2,August 21,18,2010,spotify:track:3DqbShrr3AP6ciGNie9ENV
August 14,"""DJ Got Us Fallin in Love""",Usher featuring Pitbull,4,October 9,15,2010,spotify:track:5qxULZVAM943gPjtMaH5NX
August 14,"""Teenage Dream""",Katy Perry,1,September 18,14,2010,spotify:track:5jzKL4BDMClWqRguW5qZvh
September 4,"""Just the Way You Are""",Bruno Mars,1,October 2,22,2010,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ
September 11,"""Take It Off""",Kesha,8,September 18,3,2010,spotify:track:0WCiI0ddWiu5F2kSHgfw5S
September 18,"""Just a Dream""",Nelly,3,October 23,17,2010,spotify:track:3ZdJffjzJWFimSQyxgGIxN
October 2,"""Only Girl In the World""",Rihanna,1,December 4,15,2010,spotify:track:2ENexcMEMsYk0rVJigVD3i
October 23,"""Speak Now""",Taylor Swift,8,October 23,1,2010,spotify:track:24DefNCFiWTP8OjYWiXuYe
October 30,"""Back to December""",Taylor Swift,6,October 30,1,2010,spotify:track:3DrjZArsPsoqbLzUZZV1Id
November 6,"""Raise Your Glass""",Pink,1,December 11,14,2010,spotify:track:0pHYH21o5nbgtrfULWIHzE
November 13,"""We R Who We R""",Kesha,1,November 13,14,2010,spotify:track:3LUWWox8YYykohBbHUrrxd
November 20,"""Firework""",Katy Perry,1,December 18,18,2010,spotify:track:4r6eNCsrZnQWJzzvFh4nlg
November 27,"""Teenage Dream""",Glee Cast,8,November 27,1,2010,spotify:track:2Igc5kWSzeztCCZInea9Mf
December 11,"""The Time Dirty Bit""",The Black Eyed Peas,4,December 18,10,2010,spotify:track:3TyIWEX7dDQI5tsKLEJtKA
January 8,"""Black and Yellow""",Wiz Khalifa,1,February 19,9,2011,spotify:track:5A6OHHy73AR5tLxgTc98zz
January 29,"""Hold It Against Me""",Britney Spears,1,January 29,5,2011,spotify:track:7Dyq1bhhjknLKEGg4k5NLr
February 12,"""Fuckin Perfect""",Pink,2,February 12,10,2011,spotify:track:1D9Vcei1RtcBcslsc8cj5A
February 26,"""Born This Way""",Lady Gaga,1,February 26,9,2011,spotify:track:6r2BECwMgEoRb5yLfp0Hca
March 19,"""Blow""[H]",Kesha,7,March 19,4,2011,spotify:track:3pYDZTJM2tVBUhIRifWVzI
April 2,"""Loser like Me""",Glee cast,6,April 2,1,2011,spotify:track:3iAvTn62s7rvE6hm6fFodt
April 2,"""Just Cant Get Enough"" #10",The Black Eyed Peas,3,April 16,13,2011,spotify:track:5YnZ18nansuPugJHK1P5HJ
April 9,"""No Sleep""",Wiz Khalifa,6,April 9,1,2011,spotify:track:2kzRSiyignH8yzPTrWvyPo
April 30,"""Judas""",Lady Gaga,10,April 30,1,2011,spotify:track:0QkWikH5Z3U0f79T9iuF6c
May 7,"""The Lazy Song""",Bruno Mars,4,June 18,10,2011,spotify:track:1ExfPZEiahqhLyajhybFeS
May 21,"""Just a Kiss""",Lady Antebellum,7,May 21,1,2011,spotify:track:2OXidlnDThZR3zf36k6DVL
May 28,"""The Edge of Glory"" [K]",Lady Gaga,3,May 28,11,2011,spotify:track:4TdvPpFYhg90jvBbYFXnkR
June 4,"""The Show Goes On""[L][M]",Lupe Fiasco,9,June 4,3,2011,spotify:track:2H9xkMwDVqXt8E2QCrlrxv
July 16,"""Good Life""[O]",OneRepublic,8,July 23,7,2011,spotify:track:6OtCIsQZ64Vs1EbzztvAv4
July 16,"""Tonight Tonight""",Hot Chelle Rae,7,August 6,6,2011,spotify:track:2i0AUcEnsDm3dsqLrFWUCq
July 30,"""Skyscraper""",Demi Lovato,10,July 30,1,2011,spotify:track:4B3RmT3cGvh8By3WY9pbIx
August 13,"""I Wanna Go""",Britney Spears,7,August 20,4,2011,spotify:track:5cCAZS9VhLGEDV4NCfieeg
August 27,"""Pumped Up Kicks""",Foster the People,3,September 10,14,2011,spotify:track:7w87IxuO7BDcJ3YUqCyMTT
September 17,"""Someone like You""",Adele,1,September 17,20,2011,spotify:track:1zwMYTA5nlNjZxYrvBB2pV
September 17,"""Yoü and I""[S]",Lady Gaga,6,September 17,5,2011,spotify:track:6rkAY9rk1NTFB94QxG3LJR
September 24,"""Cheers Drink to That""",Rihanna,7,October 8,3,2011,spotify:track:46MDLc0Yip6xCMSsdePOAU
November 12,"""Mr Know It All""",Kelly Clarkson,10,November 12,1,2011,spotify:track:7uRznL3LcuazKpwCTpDltz
November 26,"""If This Was a Movie""",Taylor Swift,10,November 26,1,2011,spotify:track:0vvt4IZOMkRug195S4MUq0
November 26,"""It Will Rain""",Bruno Mars,3,December 10,13,2011,spotify:track:0RUGuh2uSNFJpGMSsD1F5C
October 8,"""Sexy and I Know It""",LMFAO,1,January 7,21,2012,spotify:track:0obBFrPYkSoBJbvHfUIhkv
November 19,"""Good Feeling""[H]",Flo Rida,3,January 28,16,2012,spotify:track:468VT4OviO5T7NGZo5vvUS
December 3,"""The One That Got Away""",Katy Perry,3,January 7,11,2012,spotify:track:6hkOqJ5mE093AQf2lbZnsG
January 7,"""Set Fire to the Rain""",Adele,1,February 4,14,2012,spotify:track:73CMRj62VK8nUS4ezD2wvi
January 21,"""I Wont Give Up""",Jason Mraz,8,January 21,1,2012,spotify:track:53QF56cjZA9RTuuMZDrSA6
January 28,"""Rack City""[D]",Tyga,7,February 18,4,2012,spotify:track:2Pi11XaXLiQFtknSnoVbQ3
February 4,"""Domino""",Jessie J,6,February 18,3,2012,spotify:track:6MAdEUilV2p9RQUqE5bMAK
February 4,"""Stronger What Doesnt Kill You"" #7",Kelly Clarkson,1,February 18,16,2012,spotify:track:2BqSKeUHLR7o30IEt9OJa4
March 3,"""Part of Me""",Katy Perry,1,March 3,9,2012,spotify:track:6yARPLK0PV4heEyh7pVMGz
March 3,"""Turn Up the Music""",Chris Brown,10,March 3,1,2012,spotify:track:1RMRkCn07y2xtBip9DzwmC
April 14,"""Boyfriend""",Justin Bieber,2,April 14,12,2012,spotify:track:3UGIZ8qcrMTwzLbx6Kttqt
April 14,"""Call Me Maybe"" #2",Carly Rae Jepsen,1,June 23,23,2012,spotify:track:6B3OG0wC7TCoLytbm4LgS4
April 14,"""What Makes You Beautiful"" #10",One Direction,4,April 21,13,2012,spotify:track:2M4JeeHaLCAVgzze2C07zM
May 26,"""Drive By""",Train,10,May 26,2,2012,spotify:track:0KAiuUOrLTIkzkpfpn9jb9
June 16,"""Where Have You Been""",Rihanna,5,July 7,11,2012,spotify:track:5WQQIDU3HRaMyPkob8mpFb
June 23,"""Wide Awake""",Katy Perry,2,August 11,13,2012,spotify:track:5JLv62qFIS1DR3zGEcApRt
July 7,"""Scream""",Usher,9,August 4,6,2012,spotify:track:12eMQUn2GzfsfsQLH53M19
July 28,"""Whistle""",Flo Rida,1,August 25,12,2012,spotify:track:3bC1ahPIYt1btJzSSEyyrF
August 25,"""Some Nights""",Fun,3,September 29,19,2012,spotify:track:6t6oULCRS6hnI7rm0h5gwl
September 1,"""One More Night""",Maroon 5,1,September 29,21,2012,spotify:track:4XNrMwGx1SqP01sqkGTDmo
September 1,"""We Are Never Ever Getting Back Together""[M]",Taylor Swift,1,September 1,13,2012,spotify:track:0VwNdo84DaVYLIkbVO86ND
September 15,"""Everybody Talks""",Neon Trees,6,September 15,3,2012,spotify:track:2iUmqdfGZcHIhS3b9E9EWq
September 22,"""Too Close""",Alex Clare,7,October 27,10,2012,spotify:track:4sK96UnGx3NjBaqvfTG2dm
October 6,"""Gangnam Style""",Psy,2,October 6,12,2012,spotify:track:03UrZgTINDqvnUMbbIMhql
October 13,"""Begin Again""",Taylor Swift,7,October 13,1,2012,spotify:track:05GsNucq8Bngd9fnd4fRa0
October 20,"""Live While Were Young""",One Direction,3,October 20,1,2012,spotify:track:6Vh03bkEfXqekWp7Y1UBRb
October 20,"""Red""",Taylor Swift,6,October 20,1,2012,spotify:track:4OAuvHryIVv4kMDNSLuPt6
October 20,"""Skyfall""",Adele,8,October 20,1,2012,spotify:track:6VObnIkLVruX4UVyxWhlqm
October 27,"""Die Young""",Kesha,2,December 8,12,2012,spotify:track:7EQGXaVSyEDsCWKmUcfpLk
November 3,"""Diamonds""",Rihanna,1,December 1,15,2012,spotify:track:1z9kQ14XBSN0r2v6fx4IdG
November 3,"""Let Me Love You Until You Learn to Love Yourself""",Ne-Yo,6,December 1,8,2012,spotify:track:4kte3OcW800TPvOVgrLLj8
November 10,"""Dont Wake Me Up""",Chris Brown,10,November 10,1,2012,spotify:track:18VfHIPaCo0s6FTi1Fnp6T
November 10,"""Locked Out of Heaven""",Bruno Mars,1,December 22,20,2012,spotify:track:3w3y8KPTfNeOKPiqUTakBh
November 24,"""I Cry""",Flo Rida,6,December 22,9,2012,spotify:track:4bZd0nRuX8HyjeXAUBczvm
December 1,"""Ho Hey""",The Lumineers,3,December 29,14,2012,spotify:track:0W4Kpfp1w2xkY3PrV714B7
June 9,"""Home""",Phillip Phillips,6,January 19,13,2013,spotify:track:1EAgPzRbK9YmdOESSMUm6P
October 27,"""I Knew You Were Trouble""",Taylor Swift,2,January 12,16,2013,spotify:track:6FB3v4YcR57y4tXFcdxI1E
January 19,"""Scream & Shout""",will.i.am and Britney Spears,3,February 16,11,2013,spotify:track:2iJuuzV8P9Yz0VSurttIV5
February 16,"""Try""",Pink,9,February 16,1,2013,spotify:track:6yL8vmNnWrD1VdcV5VhXTt
February 23,"""Daylight""",Maroon 5,7,February 23,1,2013,spotify:track:6TwfdLbaxTKzQi3AgsZNzx
March 2,"""Started from the Bottom""",Drake,6,March 9,10,2013,spotify:track:5DI9jxTHrEiFAhStG7VA8E
April 13,"""Radioactive"" #3 [F]",Imagine Dragons,3,July 6,20,2013,spotify:track:2A7Ii10W85Jh6FxmWpeXwb
April 27,"""Heart Attack""",Demi Lovato,10,April 27,1,2013,spotify:track:1V6gIisPpYqgFeWbMLI0bA
May 4,"""Gentleman""",Psy,5,May 4,1,2013,spotify:track:26spalP6x2gUAab8rwB8dQ
May 25,"""Come & Get It""",Selena Gomez,6,May 25,9,2013,spotify:track:6LoQHIo74tOzQ8EsLEkhgF
July 6,"""Treasure""",Bruno Mars,5,August 3,9,2013,spotify:track:55h7vJchibLdUkxdlX3fK7
July 6,"""We Cant Stop""",Miley Cyrus,2,August 3,11,2013,spotify:track:2y4lAQpi5VTNLu2ldeTdUH
August 10,"""Best Song Ever""",One Direction,2,August 10,1,2013,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0
August 17,"""Love Somebody""",Maroon 5,10,August 17,2,2013,spotify:track:0HnaqUxvHP5LaWdmWwJpiS
August 31,"""Applause""",Lady Gaga,4,September 7,14,2013,spotify:track:5ka2ajep9OAvU5Sgduhiex
September 7,"""Wake Me Up!""",Avicii,4,October 5,21,2013,spotify:track:0nrRP2bk19rLc0orkWPQk2
September 14,"""Berzerk""",Eminem,3,September 14,3,2013,spotify:track:6Xk7PnitV9jCRorWt2LiVZ
September 14,"""Royals""",Lorde,1,October 12,23,2013,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3
September 28,"""Wrecking Ball""",Miley Cyrus,1,September 28,16,2013,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE
