entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri
December 15,"""Whenever, Wherever""",Shakira,6,December 29,8,2001,spotify:track:2lnzGkdtDj5mtlcOW2yRtG
December 29,"""My Sacrifice""",Creed,4,February 9,11,2002,spotify:track:2VSbEXqs6NbNiZSTcHlIDR
January 5,"""A Womans Worth""",Alicia Keys,7,February 9,7,2002,spotify:track:1NRorokmYEtr1koWybvaE4
January 26,"""Wherever You Will Go""",The Calling,5,March 16,11,2002,spotify:track:5QpaGzWp0hwB5faV8dkbAz
February 2,"""In the End""",Linkin Park,2,March 30,13,2002,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
February 23,"""What About Us?""",Brandy,7,March 16,5,2002,spotify:track:537F8BYzIMOZBl75qwCXy8
March 2,"""7 Days""",Craig David,10,March 2,1,2002,spotify:track:0gPQTLaqHDgdupKEok7J2x
March 9,"""Blurry""",Puddle of Mudd,5,May 11,13,2002,spotify:track:6lSr3iZTC144PKhvbPFzMp
March 16,"""Cant Get You Out of My Head""",Kylie Minogue,7,March 23,3,2002,spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7
March 30,"""Foolish""",Ashanti,1,April 20,17,2002,spotify:track:6zMUIb4uce1CzpbjR3vMdN
April 6,"""U Dont Have to Call""",Usher,3,May 4,12,2002,spotify:track:5PCJldueshnwqQVjS16543
April 20,"""A Thousand Miles""",Vanessa Carlton,5,May 18,15,2002,spotify:track:4w1lzcaoZ1IC2K5TwjalRP
April 27,"""I Need a Girl Part One""",P. Diddy featuring Usher and Loon,2,May 25,11,2002,spotify:track:7x6dNrtwRBKwJtLsENBhYC
May 11,"""All You Wanted""",Michelle Branch,6,May 25,5,2002,spotify:track:0kr6d8wHDQPlzuET33NVn6
May 18,"""Underneath Your Clothes""",Shakira,9,May 18,1,2002,spotify:track:15f8Cv8RXUlOOCIf2oaceN
May 25,"""The Middle""",Jimmy Eat World,5,June 22,10,2002,spotify:track:6GG73Jik4jUlQCkKg9JuGO
May 25,"""Without Me""",Eminem,2,June 29,12,2002,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk
June 1,"""Hot in Herre""",Nelly,1,June 29,18,2002,spotify:track:04KTF78FFg8sOHC1BADqbY
July 13,"""Complicated""",Avril Lavigne,2,August 3,16,2002,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F
August 3,"""Just a Friend 2002""",Mario,4,August 24,8,2002,spotify:track:2cxbxpHrND6i4uvUGVvC9J
August 10,"""Nothin""",N.O.R.E.,10,August 10,4,2002,spotify:track:5ZKVNTG7yu7gbX4vryqS2X
August 24,"""Happy""",Ashanti,8,September 7,6,2002,spotify:track:6CbcdeTQKj0qTaZTt0xkdk
August 31,"""Cleanin Out My Closet""",Eminem,4,September 21,7,2002,spotify:track:7BMO7O7ImjV8HNTH74Tshv
September 14,"""One Last Breath""",Creed,6,September 28,7,2002,spotify:track:42T2QQv3xgBlpQxaSP7lnK
September 28,"""Gotta Get thru This""",Daniel Bedingfield,10,September 28,1,2002,spotify:track:747tpec1a0Hfqvj2za1pBs
October 5,"""A Moment Like This""",Kelly Clarkson,1,October 5,7,2002,spotify:track:4kvdX9zzsix7jYHsRVkVUH
October 12,"""Work It""",Missy Elliott,2,November 16,16,2002,spotify:track:3jagJCUbdqhDSPuxP8cAqF
October 19,"""Lose Yourself""",Eminem,1,November 9,16,2002,spotify:track:5Z01UMMf7V1o0MzF86s6WJ
October 19,"""Luv U Better""",LL Cool J,4,November 16,9,2002,spotify:track:7cGcyNd7NVvDIwCAQSbJLI
November 2,"""Sk8er Boi""",Avril Lavigne,10,November 2,1,2002,spotify:track:00Mb3DuaIH1kjrwOku9CGU
November 9,"""Die Another Day""",Madonna,8,November 9,4,2002,spotify:track:7DUpuAzGUyJaJB3p9BC3Ms
November 16,"""Gimme the Light""",Sean Paul,7,December 7,6,2002,spotify:track:3SCVtAJq8li6HlKfM4M08u
November 23,"""Jenny from the Block""",Jennifer Lopez featuring Jadakiss and Styles,3,December 7,9,2002,spotify:track:45BWoAVKPweZTPWzzFetSD
December 21,"""Beautiful""",Christina Aguilera,2,February 1,12,2003,spotify:track:3TCauNPqFiniaYHBvEVoHG
January 25,"""Cry Me a River""",Justin Timberlake,3,February 1,9,2003,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5
January 25,"""Im With You""",Avril Lavigne,4,February 1,10,2003,spotify:track:1jlG3KJ3gdYmhfuySFfpO1
February 1,"""Miss You""",Aaliyah,3,April 5,13,2003,spotify:track:0tr492xughUjNeqSDDD5nK
February 15,"""In da Club""",50 Cent,1,March 8,17,2003,spotify:track:4RY96Asd9IefaL3X4LOLZ8
March 15,"""Ignition Remix""",R. Kelly,2,March 29,15,2003,spotify:track:5dNfHmqgr128gMY2tc5CeJ
March 29,"""How You Gonna Act Like That""",Tyrese,7,March 29,4,2003,spotify:track:3OUApyz3jDB3syGUNGqB1d
April 5,"""Get Busy""",Sean Paul,1,May 10,17,2003,spotify:track:5qTvkDrSfvwDv6RBjjcfQr
April 5,"""When Im Gone""",3 Doors Down,4,April 26,10,2003,spotify:track:3WbphvawbMZ8FyqDxYGdSQ
May 3,"""Rock Your Body""",Justin Timberlake,5,May 10,7,2003,spotify:track:1AWQoqb9bSvzTjaLralEkT
May 10,"""Bring Me to Life""",Evanescence,5,June 7,12,2003,spotify:track:0COqiPhxzoWICwFCS4eZcp
June 14,"""Crazy in Love""",Beyoncé featuring Jay-Z,1,July 12,16,2003,spotify:track:19lLzX7vt4BhrSOaHeRyn7
June 14,"""Unwell""",Matchbox Twenty,5,July 19,17,2003,spotify:track:6Bm6qUCSatPAqkQllFL7oA
June 21,"""Rock wit U Awww Baby""",Ashanti,2,August 2,9,2003,spotify:track:6pWzCKTrKrwbUPzY8RLCoP
June 28,"""This Is the Night""",Clay Aiken,1,June 28,4,2003,spotify:track:2xnVdRMaQBkRfZyefKC2ec
June 28,"""Flying Without Wings""",Ruben Studdard,2,June 28,2,2003,spotify:track:4vzYcDxBXAUPYDUna4BVeE
July 12,"""Right Thurr""",Chingy,2,August 9,17,2003,spotify:track:0l3GEbH3CviUytD6iX4wzg
July 12,"""So Gone""",Monica,10,July 12,1,2003,spotify:track:6BIcjFZIVDZxNAcofRFPx4
July 19,"""Miss Independent""",Kelly Clarkson,9,July 19,3,2003,spotify:track:2CZi8d774dBB0wiuWMIpr8
July 26,"""In Those Jeans""",Ginuwine,8,August 2,5,2003,spotify:track:5ojJNnX5ND2gMGojPd3NiO
August 9,"""Where Is the Love?""",The Black Eyed Peas,8,August 9,9,2003,spotify:track:7iInDTMvYQrZnELy6nJ15s
August 23,"""Shake Ya Tailfeather""","Nelly, P. Diddy and Murphy Lee",1,September 6,12,2003,spotify:track:1lKS7SZQ7r5vOChLwJurmm
October 18,"""Here Without You""",3 Doors Down,5,November 8,17,2003,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4
October 25,"""Rain on Me""",Ashanti,7,November 8,4,2003,spotify:track:1YZBMqN8kHaaRPXpQTC3kb
November 15,"""Walked Outta Heaven""",Jagged Edge,6,December 20,10,2003,spotify:track:06ZDLodo1UDVavc3MXREZ3
November 22,"""Hey Ya!""",Outkast,1,December 13,17,2003,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM
November 22,"""Step in the Name of Love""",R. Kelly,9,December 13,4,2003,spotify:track:7lrAsaTw9CTh5uSr0fvHOd
December 13,"""Milkshake""",Kelis,3,December 27,9,2003,spotify:track:2s0ouHqJebHfiQ6C1GUFJd
December 27,"""Change Clothes""",Jay-Z,10,December 27,1,2003,spotify:track:1xE7osYAtzz1PvLoVdOp5E
December 20,"""You Dont Know My Name""",Alicia Keys,3,January 31,11,2004,spotify:track:6LGwYMXXgURfaequXipzHx
January 3,"""Me, Myself and I""",Beyoncé,4,February 21,11,2004,spotify:track:6XsT5UGfpaFeHQf5LRIy4W
January 31,"""Its My Life""",No Doubt,10,January 31,2,2004,spotify:track:2fOxxLz9JVe53itq6pfBak
January 31,"""Someday""",Nickelback,7,February 14,4,2004,spotify:track:4PkJ7c9y1CwpuVOiJODnCZ
February 14,"""Hotel""",Cassidy featuring R. Kelly,4,March 27,9,2004,spotify:track:2do7t1NMxLTgblFuCvn7H7
February 21,"""Sorry 2004""",Ruben Studdard,9,February 28,4,2004,spotify:track:2u34ZVPVlr7hfN7vDr1512
February 28,"""Tipsy""",J-Kwon,2,April 17,12,2004,spotify:track:0jSMveIWvnhDIvzqN74Uc7
March 6,"""Splash Waterfalls""",Ludacris,6,March 20,6,2004,spotify:track:2T8hXV9LUZMDBKR5RALGEa
March 20,"""Dirt Off Your Shoulder""",Jay-Z,5,April 10,7,2004,spotify:track:3IrkbGQCoEPAkzJ0Tkv8nm
March 20,"""My Immortal""",Evanescence,7,April 10,5,2004,spotify:track:4UzVcXufOhGUwF56HT7b8M
March 20,"""Toxic""",Britney Spears,9,March 27,3,2004,spotify:track:6I9VzXrHxO9rA9A5euc8Ak
April 3,"""Solitaire""",Clay Aiken,4,April 3,1,2004,spotify:track:4nl0AClM6HOOKwHJwLezEK
April 3,"""This Love""",Maroon 5,5,April 24,14,2004,spotify:track:6ECp64rv50XVz93WvxXMGF
April 10,"""Burn""",Usher,1,May 22,18,2004,spotify:track:7z3N2W7Xz1t2G2sAO8wFVH
April 17,"""Naughty Girl""",Beyoncé,3,June 5,11,2004,spotify:track:0YGQ3hZcRLC5YX7o0hdmHg
April 24,"""If I Aint Got You""",Alicia Keys,4,July 3,20,2004,spotify:track:3XVBdLihbNbxUwZosxcGuJ
April 24,"""My Band""",D12,6,May 15,5,2004,spotify:track:4XHQyvbrBsQaaBUW1VvmsL
May 8,"""Overnight Celebrity""",Twista,6,May 22,9,2004,spotify:track:2tOZtdbkAMQASWokLvSlzj
May 15,"""The Reason""",Hoobastank,2,June 19,14,2004,spotify:track:77loZpT5Y5PRP1S451P9Yz
May 29,"""Freek-a-Leek""[C]",Petey Pablo,7,July 3,7,2004,spotify:track:46NLwKEUdsgiV4jWKN7JQd
June 5,"""Confessions Part II""",Usher,1,July 24,13,2004,spotify:track:7wBThXx7BGZHJJ3aN3OPvv
June 12,"""Roses""",Outkast,9,June 19,2,2004,spotify:track:6bUNEbXT7HovLW6BgPCBsb
July 10,"""I Believe""",Fantasia,1,July 10,2,2004,spotify:track:2zZJnAlhgvW6DERn1tu3fb
